CODICE ASCII  CARATTERE    OCCORRENZE  CODICE HUFFMANN    LUNGHEZZA CODICE
	10						    19			10101				5
	32			 				184			11				    2
	40			(				13			01001				5
	41			)				13			01010				5
	43			+				1			100100000			9
	44			,				1			010111101			9
	46			.				9			100111				6
	48			0				1			100100001			9
	49			1				1			100100010			9
	59			;				13			00111				5
	61			=				7			010110				6
	65			A				1			00001100			8
	66			B				2			10010011			8
	67			C				2			10100010			8
	70			F				5			000010				6
	73			I				2			00001101			8
	76			L				2			01011100			8
	79			O				2			01011101			8
	83			S				3			10100011			8
	84			T				6			001000				6
	97			a				9			100110				6
	98			b				5			1010011				7
	99			c				13			00110				5
	100			d				5			1010010				7
	101			e				28			0110				4
	103			g				3			0000111				7
	104			h				4			1010000				7
	105			i				33			1000				4
	108			l				13			01000				5
	110			n				24			0001				4
	111			o				11			00000				5
	112			p				6			001010				6
	114			r				16			01110				5
	115			s				8			100101				6
	116			t				39			1011				4
	117			u				16			01111				5
	118			v				1			100100011			9
	119			w				6			001011				6
	120			x				6			001001				6
	121			y				1			010111100			9
	123			{				2			01011111			8
	125			}				2			10010010			8
